15.18, ```
459337.60, ```
440712.40, ```
470176.00, ```
429915.60, ```
465672.80, ```
434376.80, ```
400066.80, ```
403688.40, ```
453654.80, ```
442768.80, ```
400022.40, ```
400021.60, ```
429605.20, ```
457749.60, ```
412757.60, ```
400062.00, ```
400022.40, ```
437570.40, ```
456460.80, ```
406091.20, ```
400022.00, ```
406844.80, ```
473754.00, ```
419501.60, ```
400062.00, ```
400034.80, ```
443538.00, ```
441008.00, ```
415540.80, ```
400062.40, ```
400031.60, ```
450556.40, ```
449493.60, ```
400068.80, ```
400022.40, ```
445204.00, ```
445779.60, ```
409128.00, ```
400022.00, ```
400022.00, ```
427722.80, ```
442442.80, ```
429947.60, ```
400064.00, ```
404363.20, ```
437287.20, ```
458461.60, ```
400022.00, ```
400022.00, ```
469263.20, ```
430830.80, ```
400022.80, ```
400023.20, ```
442242.00, ```
454164.00, ```
403738.80, ```
400096.80, ```
400031.60, ```
428866.00, ```
434976.80, ```
435948.80, ```
400417.20, ```
400104.80, ```
404951.60, ```
440596.00, ```
454275.60, ```
400332.80, ```
400022.80, ```
429840.40, ```
448738.80, ```
421538.80, ```
400021.60, ```
400072.40, ```
439439.60, ```
434095.60, ```
426578.40, ```
400022.00, ```
433058.40, ```
375576.80, ```
437045.60, ```
439349.60, ```
415145.60, ```
400063.60, ```
400029.20, ```
426857.20, ```
